Row.names	betahat	sebetahat	WaldP	WaldPadj	PosteriorMean	lfsr	lfdr	qvalue	baseMean	log2FoldChange	lfcSE	pvalue	padj	groupID	labels
ENSG00000101052.13:O002	1.3711460691373	0.569813443885017	0.0161147170470928	0.0471000001927895	1.03607910139508	0.211091596233042	0.204269798441641	0.0279607558258444	144.033059714731	-0.144743509937542	0.307787628596425	0.609135834411726	0.882224895169446	ENSG00000101052.13	mORF
ENSG00000101574.15:O026	-2.93390009899271	0.73170758388335	6.08057226350045e-05	0.000323348157156044	-2.15411458871729	0.00451199276717373	0.00439028338449275	0.000291819446079519	18.4430379057276	1.92870033880934	1.71735960034549	0.011946373261631	0.0662104350661504	ENSG00000101574.15	uORF
ENSG00000101972.20:O004	19.6338601785631	19760.9093454635	0.999207245423067	0.999997263596305	4.46472017540117e-08	0.782626571668898	0.565253170440312	0.201265907955315	19.8760209753821	-0.319038866818067	0.738584818740848	0.191744240112759	0.532203916926354	ENSG00000101972.20	dORF
ENSG00000102119.12:O001	-0.704975599954823	0.347529870223923	0.0425059405032462	0.105120242546338	-0.368280253165651	0.488692809282018	0.477589961597421	0.115306406028026	131.540724110565	2.40100370307037	0.649257697217713	1.58846379574255e-05	0.000174868280493768	ENSG00000102119.12	uORF
ENSG00000102241.12:O002	1.20322114691058	0.299409395741973	5.8532891019647e-05	0.000313357901418312	1.19971196471431	0.00260868125680742	0.00257947919714866	0.000187010885353613	590.312531161403	0.204561331330037	0.260973884676709	0.395366200838118	0.766238487644351	ENSG00000102241.12	mORF
ENSG00000102804.16:O024	1.12671927880761	0.467287727478665	0.0159005828707244	0.0466456213366269	0.862468106016808	0.233055559371174	0.226852749771324	0.0337302638045164	80.127180825924	-0.463398475125489	0.586085983547466	0.225418303072342	0.583562972220775	ENSG00000102804.16	dORF
ENSG00000103037.12:O001	-1.53063515144029	0.199649938169243	1.77635683940025e-14	3.24644525821425e-13	-1.5303745639138	2.15805151526638e-12	2.14920492583997e-12	1.377416717079e-13	173.145140722428	0.395616428681063	0.369348147352274	0.203490738918283	0.55092813640158	ENSG00000103037.12	mORF
ENSG00000103257.10:O006	0.77378097314086	0.740422453230696	0.295998308002034	0.491880017372135	0.2457861054636	0.71613966810596	0.66551119820692	0.300206937765838	275.921011516686	-0.33109996623244	0.643436946790495	0.329231586638531	0.705753698466288	ENSG00000103257.10	dORF
ENSG00000103257.10:O013	1.52919039943546	0.781179939662068	0.0502841008905164	0.120955704108806	0.84127674231874	0.378068017148854	0.358813791030218	0.069612101367006	78.4777595622988	-1.50806413103976	1.2220988643438	0.0184164289951949	0.0948682332999828	ENSG00000103257.10	dORF
ENSG00000103319.12:O001	0.573122686818105	0.860847195277066	0.505560759603371	0.715016374790948	0.15585565896671	0.780237809010404	0.703550564734683	0.330648232313469	608.39416550106	-1.0160546637295	0.182862835843361	1.21318820859737e-08	2.25572412514493e-07	ENSG00000103319.12	mORF
ENSG00000104290.11:O004	2.28675363159164	0.433443134266703	1.32187589985122e-07	1.1299906885825e-06	2.01782659059255	1.00140687638042e-05	9.88797901904864e-06	5.52364376634597e-07	107.458771605296	-0.673750288704111	0.461970911218859	0.062857378692144	0.250271134365908	ENSG00000104290.11	mORF
ENSG00000105372.8:O002	14.4733341917776	510.788547353729	0.977394746137642	0.999997263596305	5.16835193712644e-05	0.782612137699688	0.565254178204884	0.236344475462683	13.2087487142001	-0.695708984323198	1.16787927950874	0.0236722499143783	0.116531815201427	ENSG00000105372.8	dORF
ENSG00000105401.10:O004	1.25726542839156	1.24917231198692	0.31418531276508	0.513416903696276	0.342562103196718	0.676318833224116	0.599037533638344	0.257150245163335	8.127043083568	-0.146441916989449	0.66798315385186	0.482579506760645	0.823201582661004	ENSG00000105401.10	dORF
ENSG00000105701.16:O001	1.76731989482819	0.785093518618632	0.0243795371319133	0.0660365656845164	1.09769235902875	0.261612915700448	0.249512525956298	0.0406158400161533	63.9404539639812	-2.86348189991005	1.21529087325539	0.00244177731790631	0.0167461412678761	ENSG00000105701.16	dORF
ENSG00000105928.16:O006	-0.791440698489475	0.87519505344194	0.365835249462172	0.566937667295179	-0.238169025249468	0.728266329119767	0.664011220432281	0.298943597409439	26.6142347024271	0.222135744913422	0.643479270281735	0.433159282772697	0.792859180639977	ENSG00000105928.16	dORF
ENSG00000106683.15:O001	-0.300443836877474	0.813556821416683	0.711906596491391	0.908452237898324	-0.0734721614540203	0.834637500962018	0.742310608292689	0.350031567773378	330.651325636158	-0.503785021917785	0.317545801308126	0.0749929615641251	0.285895672787803	ENSG00000106683.15	mORF
ENSG00000106683.15:O004	-1.29696192412419	1.63192298591841	0.426762103066269	0.633568388305666	-0.264095814143919	0.712815908738731	0.604208560658524	0.261137806126738	6.25226855996604	0.119540272493571	0.67663448073975	0.411103741126319	0.777368600466367	ENSG00000106683.15	dORF
ENSG00000107566.14:O016	1.93621801153252	0.269197039753374	6.3593574850529e-13	9.81687223420787e-12	1.87281335027058	6.28313171747926e-11	6.24630347245442e-11	4.67993762787672e-12	375.848926960164	-0.0277328843171577	0.28752286165165	0.918192439110344	0.98311087375096	ENSG00000107566.14	mORF
ENSG00000108061.13:O001	-0.997270900894001	0.243075326891161	4.08314780109276e-05	0.000225819459395866	-0.995018432871541	0.00227856828784379	0.00225819864452611	0.000155815528379561	79.3163963010207	-0.38279681020938	0.429817978392313	0.260144943177438	0.629902669136874	ENSG00000108061.13	uORF
ENSG00000108179.14:O001	-2.37837175847649	0.525611031846806	6.04053733810339e-06	3.88844306379935e-05	-2.01217140383612	0.000364576467867028	0.000358187989941726	2.79984495272649e-05	1593.29059684612	1.20335522384967	0.176237776983688	2.11949404428608e-12	6.60799219123621e-11	ENSG00000108179.14	mORF
ENSG00000108515.18:O001	-0.456225831633494	0.067902786808069	1.83215664861791e-11	2.48985390709614e-10	-0.456225829001238	5.7787947760346e-09	5.76963402248383e-09	3.60897857325887e-10	5405.88464301002	1.84652958430218	0.169800855859245	1.91159298400241e-28	3.69758129811355e-26	ENSG00000108515.18	mORF
ENSG00000108588.15:O021	0.018026925974284	0.47031515825589	0.969425002476751	0.999997263596305	0.00286903008810114	0.917986066504435	0.840838435189337	0.402532753906972	815.012373090338	0.475082069533563	0.226240199215079	0.0253506460880623	0.123072509495827	ENSG00000108588.15	mORF
