,estimates,se,posterior,t.statistic,pval,empirical.pval,empirical.fdr
ENSG00000048828.18:O001,1.64020999590252,0.073944581496758,11.7948718842823,22.1816117246459,5.55960177840626e-11,0.000129488008161946,0.0220203687109863
ENSG00000048828.18:O003,-2.07730113706725,0.0589901164894104,11.7948718842823,-35.2143928625765,2.57801361258105e-13,1.31611328702604e-06,0.00945968941231158
ENSG00000048991.18:O004,-1.5844837680972,0.151666286391953,11.7948718842823,-10.4471719179725,2.5959172738133e-07,0.000491517047647213,0.0405444937920973
ENSG00000049130.16:O052,-2.14118271044238,0.100215449055517,11.7948718842823,-21.3657947015356,8.56384518897432e-11,1.5443248339246e-05,0.0120311731747647
ENSG00000050393.12:O031,-1.8944888228149,0.170477077957282,11.7948718842823,-11.1128654099152,1.33343000478544e-07,0.00036731456168315,0.0333627786575982
ENSG00000051382.10:O034,-3.15735415722505,0.302900751576635,11.7948718842823,-10.4237250676687,2.65923041392746e-07,0.000496731013099692,0.0406003887419383
ENSG00000054118.15:O001,-1.44066734391411,0.11234797595855,11.7948718842823,-12.823260335777,2.77859606740136e-08,0.000185603342388188,0.0241621805727168
ENSG00000055332.19:O071,-1.96152308804757,0.142942353049815,11.7948718842823,-13.7224765522363,1.30890282680556e-08,0.000133943104857852,0.0223030844367958
ENSG00000055483.20:O011,-1.30127853032187,0.0985565767677168,11.7948718842823,-13.2033657519253,2.010197782719e-08,0.000161294020364538,0.0230229832000494
ENSG00000055917.17:O030,-1.35157592305582,0.096722989866743,11.7948718842823,-13.9736780771346,1.06901013353094e-08,0.000122710630279482,0.0216405939113569
ENSG00000056586.16:O057,-2.12992678213,0.144214963683269,11.7948718842823,-14.7691108310219,5.74941994006358e-09,9.38668408063259e-05,0.0186690716714804
ENSG00000058262.11:O005,-0.559191003783997,0.0496231090921519,11.7948718842823,-11.2687619541444,1.14633572765033e-07,0.000343859187887558,0.0325554367174905
ENSG00000060237.19:O003,-1.93015514924825,0.0765906100229452,11.7948718842823,-25.2009371471256,1.27026123493257e-11,6.85269695280038e-06,0.00945968941231158
ENSG00000060339.14:O002,-2.03758889281346,0.157349954762992,11.7948718842823,-12.9494088249506,2.49325275532995e-08,0.000177080186869189,0.02370754223879
ENSG00000061676.16:O157,-3.26231902773162,0.121268275788261,11.7948718842823,-26.9016691012228,5.95211002141157e-12,4.96680267850392e-06,0.00945968941231158
ENSG00000062194.16:O012,-2.71777293354889,0.169144096707903,11.7948718842823,-16.0677965500755,2.22277803294995e-09,6.23224259742714e-05,0.016118498806591
ENSG00000062650.20:O017,-2.68003557083502,0.158751124883897,11.7948718842823,-16.8819942081989,1.26906621752204e-09,4.89756929706124e-05,0.0157382794429819
ENSG00000063978.17:O003,-1.26522107862095,0.125904569022498,11.7948718842823,-10.049048167544,3.93231820106532e-07,0.000589642141892002,0.0428861214573135
ENSG00000064115.11:O016,-2.30280553783045,0.191493166819678,11.7948718842823,-12.0255232919038,5.63803457812974e-08,0.000252409891906615,0.0284673060970542
ENSG00000064313.13:O010,-3.10199122414929,0.148262247767384,11.7948718842823,-20.9223269636122,1.09030128571595e-10,1.71198958588202e-05,0.0126300921073304
ENSG00000064419.14:O009,-2.27212904032513,0.152204801977329,11.7948718842823,-14.9281035210936,5.09752270810447e-09,8.91167537924133e-05,0.0180247445523638
ENSG00000064726.10:O020,-2.35709833043855,0.128782192408302,11.7948718842823,-18.3029834044555,5.05408899030823e-10,3.29921303643996e-05,0.0136998557848015
ENSG00000065243.20:O004,-2.56266795803576,0.22034015211448,11.7948718842823,-11.63050825482,8.12574479410333e-08,0.000295950190529691,0.0303582143867133
ENSG00000066027.12:O004,-3.45518681503762,0.170570633450144,11.7948718842823,-20.2566335432385,1.58131049132107e-10,2.00663254613986e-05,0.0129560746376006
ENSG00000066084.13:O002,-3.15271131899622,0.196311433640363,11.7948718842823,-16.0597437476408,2.23542363994614e-09,6.24747603666462e-05,0.016118498806591
ENSG00000066468.24:O013,-2.65966088359897,0.0928039758805407,11.7948718842823,-28.6589109826776,2.85151709481515e-12,3.63561337162051e-06,0.00945968941231158
ENSG00000067167.8:O013,-1.65770826059777,0.10626768061142,11.7948718842823,-15.599364275761,3.10550530223155e-09,7.19740549762265e-05,0.0171249549324934
ENSG00000067606.17:O002,-1.41956264797426,0.113337894532386,11.7948718842823,-12.525048694712,3.6033280065492e-08,0.00020777310142625,0.0257379828064352
ENSG00000068323.17:O009,-2.34133487461193,0.197163260878379,11.7948718842823,-11.8751072800332,6.47198865369886e-08,0.000268027282085153,0.0289890534702371
ENSG00000068650.19:O003,-2.43537322419531,0.184294045496892,11.7948718842823,-13.2146061346099,1.99129649822789e-08,0.000160634956918922,0.0230229832000494
ENSG00000068724.18:O001,1.52292082724721,0.0810795712059391,11.7948718842823,18.7830399766058,3.75926830860048e-10,0.000266997360705886,0.0289890534702371
ENSG00000068724.18:O004,-1.58846540975997,0.0820545388779822,11.7948718842823,-19.3586537866244,2.66065755058182e-10,2.50662199634224e-05,0.0133596841358417
ENSG00000068796.19:O001,-0.9516271482376,0.0401894324578097,11.7948718842823,-23.6785415976353,2.61420662425845e-11,9.31428927225164e-06,0.00945968941231158
ENSG00000068796.19:O025,1.02127246600133,0.0485917602804584,11.7948718842823,21.0174000716753,1.03486851038371e-10,0.000163830740015066,0.0230229832000494
ENSG00000069424.16:O007,-2.37320151051091,0.210267612274197,11.7948718842823,-11.2865765908644,1.12682811211066e-07,0.000341293731174066,0.0325554367174905
ENSG00000070018.9:O032,-1.04078766485466,0.108962367266067,11.7948718842823,-9.55180849102919,6.73252173909907e-07,0.000746749404381861,0.0476775882459366
ENSG00000070367.17:O076,-2.95424451501518,0.181637494449839,11.7948718842823,-16.26450818408,1.93670047288405e-09,5.87355367584561e-05,0.0159297895147934
ENSG00000070614.15:O007,-1.78172780374298,0.147798115908121,11.7948718842823,-12.0551455801412,5.48788900481369e-08,0.000249463183828569,0.028290306773323
ENSG00000070961.17:O031,-1.09816315279855,0.107169931175355,11.7948718842823,-10.2469334518999,3.19366970835938e-07,0.00053822739208437,0.0421485365551573
ENSG00000072364.13:O054,-1.74519745482278,0.118516052132837,11.7948718842823,-14.7254099627509,5.94400079131716e-09,9.52250341311651e-05,0.0188345647618548
ENSG00000072518.23:O003,-2.91294667248703,0.197024734959123,11.7948718842823,-14.7846749957125,5.68179103731117e-09,9.33887116154228e-05,0.0186690716714804
ENSG00000073417.15:O004,-3.55283152631246,0.212224177545399,11.7948718842823,-16.7409367179781,1.39594086355465e-09,5.10226148969747e-05,0.0157382794429819
ENSG00000074054.21:O024,-2.68219892132848,0.256675288660109,11.7948718842823,-10.4497746367796,2.58898989207727e-07,0.000490942279265168,0.0405444937920973
ENSG00000075413.19:O003,-3.71444703972027,0.299649260008409,11.7948718842823,-12.3959826886141,4.03910851885309e-08,0.000218337871105182,0.0264070803566402
ENSG00000075624.17:O008,-0.978469552875031,0.0741957683074652,11.7948718842823,-13.1876733026105,2.03691010015965e-08,0.000162219522103545,0.0230229832000494
ENSG00000075975.17:O026,-1.91155630729591,0.0793617061720933,11.7948718842823,-24.0866332075922,2.14513065959127e-11,8.56264442260493e-06,0.00945968941231158
ENSG00000076685.19:O040,-1.66741935785072,0.147394117422886,11.7948718842823,-11.3126587885916,1.09890972843336e-07,0.000337578552617159,0.0325554367174905
ENSG00000077097.17:O008,-1.7481180052997,0.146961901966265,11.7948718842823,-11.8950420613159,6.35419423083644e-08,0.000265892758810938,0.0289890534702371
ENSG00000077147.16:O041,-2.60149098156878,0.0993240839630752,11.7948718842823,-26.191945374859,8.11960317668075e-12,5.66647881993168e-06,0.00945968941231158
ENSG00000077232.19:O006,-2.18828955577221,0.162466002937628,11.7948718842823,-13.4692151970546,1.61071201625479e-08,0.000146531532751259,0.0230229832000494
ENSG00000077721.17:O016,-0.93787816854254,0.0747436435781106,11.7948718842823,-12.5479321537545,3.53150130779922e-08,0.000205964060502649,0.025662511759975
ENSG00000078061.14:O003,-2.51251044817217,0.240826075777272,11.7948718842823,-10.4328837318093,2.6343037727144e-07,0.000494686603205202,0.0406003887419383
ENSG00000078140.14:O002,-2.63407047763507,0.130674997053751,11.7948718842823,-20.1574175398803,1.67306642773406e-10,2.05558715285295e-05,0.0129560746376006
ENSG00000078369.19:O019,-1.48404681941749,0.0749292169242035,11.7948718842823,-19.8059833044661,2.04743173619136e-10,2.24090527170645e-05,0.0133596841358417
ENSG00000078403.17:O007,-3.36966025330995,0.336034053811553,11.7948718842823,-10.0277344366998,4.02222743335675e-07,0.000595519620384049,0.0428861214573135
ENSG00000079246.16:O002,-1.73406249056752,0.164317708925546,11.7948718842823,-10.5531077685196,2.32941625379557e-07,0.000468753171119647,0.0396810899858147
ENSG00000079387.15:O042,-2.02432409668847,0.167154448355901,11.7948718842823,-12.1105008966218,5.21874336116573e-08,0.000244065576195756,0.0280049603455386
ENSG00000079805.19:O002,-2.69153941249947,0.241389488635902,11.7948718842823,-11.1501931078665,1.28581612980643e-07,0.000361529821443083,0.0331865836093907
ENSG00000082641.16:O004,-1.15160007235968,0.115374105721359,11.7948718842823,-9.98144310770147,4.22521073719697e-07,0.000608525457708318,0.0428861214573135
ENSG00000082701.17:O046,-3.22038049309522,0.156709041795514,11.7948718842823,-20.5500617973111,1.34039029880452e-10,1.86981810527517e-05,0.0126300921073304
ENSG00000082898.19:O012,-1.37405979180611,0.0892060901242957,11.7948718842823,-15.4032061027623,3.58211629322815e-09,7.6540722203523e-05,0.0176111212491695
ENSG00000083168.11:O023,-2.8685854769796,0.172875110485788,11.7948718842823,-16.5933977940417,1.54346889353558e-09,5.32740942688964e-05,0.0157382794429819
ENSG00000084090.14:O017,-1.24275424756734,0.122694074687319,11.7948718842823,-10.1288856102827,3.61427471174565e-07,0.000568227870538277,0.0428861214573135
ENSG00000084234.18:O002,-1.35001934377963,0.109077784413133,11.7948718842823,-12.3766663490929,4.10908005766202e-08,0.000219973475190016,0.0264081966760312
ENSG00000084463.8:O019,-2.20729556658336,0.132189843060532,11.7948718842823,-16.6979210768304,1.43731168080159e-09,5.16670839174537e-05,0.0157382794429819
ENSG00000084733.11:O002,-1.64003865955824,0.123015043326362,11.7948718842823,-13.3320170867816,1.80494106434033e-08,0.000153939073732184,0.0230229832000494
ENSG00000087338.5:O003,-4.11237883141023,0.408524998523759,11.7948718842823,-10.0664068203187,3.86069029351972e-07,0.000584905993166016,0.0428861214573135
ENSG00000089057.15:O040,-2.63145439015827,0.257944878022724,11.7948718842823,-10.2016152068212,3.34855555949309e-07,0.000549517304141064,0.0425816439139612
ENSG00000089693.11:O006,-1.24361847311933,0.130187623521054,11.7948718842823,-9.55250921312198,6.72731768350249e-07,0.000746495451137674,0.0476775882459366
ENSG00000089876.12:O005,-0.805468010839368,0.0823163138279227,11.7948718842823,-9.78503498739205,5.21751746310341e-07,0.000667584516954294,0.0449657120670133
ENSG00000089902.10:O002,-2.39786707818199,0.170682924663645,11.7948718842823,-14.0486641115819,1.00695253618769e-08,0.000119577879925841,0.0211925153531936
ENSG00000090060.19:O003,-3.75852921050052,0.11033774144662,11.7948718842823,-34.0638584877944,3.80106407051519e-13,1.55045064823082e-06,0.00945968941231158
ENSG00000091039.17:O050,-2.7507103659694,0.163615770539273,11.7948718842823,-16.8120124172819,1.33037785663041e-09,4.99786860089149e-05,0.0157382794429819
ENSG00000091542.9:O004,-1.88707459688411,0.104333502077092,11.7948718842823,-18.0869477139734,5.78792508535719e-10,3.49662209070151e-05,0.0139159228678128
ENSG00000092140.16:O014,-1.88369263106271,0.184947224321604,11.7948718842823,-10.1850278530656,3.40725139636803e-07,0.000553719581017308,0.0427134745129022
ENSG00000092199.19:O027,-0.672808828642182,0.0706636620362615,11.7948718842823,-9.52128447994849,6.963467856754e-07,0.000757911539903261,0.0481940197664951
ENSG00000093167.18:O011,-1.66211815635215,0.117219455211678,11.7948718842823,-14.1795417266754,9.07764549203853e-09,0.000114335605184145,0.020900341067006
ENSG00000095787.26:O004,-3.22240718967024,0.13701825687172,11.7948718842823,-23.5180862991649,2.82813174503161e-11,9.63136602787329e-06,0.00945968941231158
ENSG00000097007.20:O011,-2.3231753767988,0.17279555148736,11.7948718842823,-13.4446480641531,1.64376145398546e-08,0.000147826178069348,0.0230229832000494
ENSG00000099219.15:O001,-1.62005147505654,0.101670870990312,11.7948718842823,-15.9342735955405,2.44283750130438e-09,6.49067667155146e-05,0.0163638186508128
ENSG00000099219.15:O020,1.61820551773487,0.102157550071082,11.7948718842823,15.8402929260628,2.61180689217959e-09,0.000556262461838419,0.0427134745129022
ENSG00000099942.13:O002,-1.74804226879743,0.169682480331048,11.7948718842823,-10.3018429798234,3.0162579574025e-07,0.000524913983529605,0.0418201108842755
ENSG00000100014.20:O002,-1.71007500793916,0.148924978892716,11.7948718842823,-11.482795033136,9.341257646219e-08,0.000314488603576797,0.0312557511451445
ENSG00000100221.11:O016,-2.26658712940159,0.131363949169574,11.7948718842823,-17.2542554005872,9.90358063899731e-10,4.40278789859578e-05,0.0157382794429819
ENSG00000100226.16:O001,-1.60465000122228,0.0831857469028577,11.7948718842823,-19.2899632565198,2.77127802900828e-10,2.55069474684847e-05,0.0133596841358417
ENSG00000100226.16:O018,1.50137717216735,0.0904079682229701,11.7948718842823,16.6066907782349,1.52950940583246e-09,0.000454230847136133,0.0389963173320709
ENSG00000100403.12:O002,-2.45048168152933,0.14767024205293,11.7948718842823,-16.5942822837048,1.5425357900611e-09,5.3260246804542e-05,0.0157382794429819
ENSG00000100413.17:O001,-1.99840415669023,0.197236697168949,11.7948718842823,-10.1320098408382,3.60240546536257e-07,0.000567408771963479,0.0428861214573135
ENSG00000100490.10:O001,1.5954782120707,0.103134652334675,11.7948718842823,15.4698559209113,3.41185505506825e-09,0.000615500929286218,0.0430122481049588
ENSG00000100490.10:O035,-1.71210028706963,0.103915690929817,11.7948718842823,-16.4758591484124,1.67307049606038e-09,5.51531942495429e-05,0.0157382794429819
ENSG00000100603.14:O004,-0.484407733531074,0.0476962638726683,11.7948718842823,-10.1560938782179,3.51230352347308e-07,0.00056114121527088,0.0428333806112953
ENSG00000100796.18:O013,-3.1642564601591,0.201522349234799,11.7948718842823,-15.7017644552781,2.88433209859923e-09,6.97196937739416e-05,0.0171249549324934
ENSG00000100852.14:O002,-2.72236618415132,0.280219644996631,11.7948718842823,-9.71511538451934,5.62902473433284e-07,0.000690228354804479,0.0456750001885404
ENSG00000100934.15:O021,-1.48525315568092,0.0915966895743511,11.7948718842823,-16.2151401167758,2.00454521404571e-09,5.96119959115108e-05,0.0160354709608099
ENSG00000101220.18:O002,-1.5836734982819,0.16175751985303,11.7948718842823,-9.79041654274128,5.18721361990455e-07,0.000665878364466747,0.0449657120670133
ENSG00000101849.18:O004,-1.59863411424426,0.165430118386736,11.7948718842823,-9.66350099869386,5.95514362631152e-07,0.000707527775831544,0.0463062054383351
ENSG00000101972.20:O003,-0.899825233011557,0.092405802395048,11.7948718842823,-9.73775682575295,5.49207411937254e-07,0.000682797771238534,0.0455383676040656
ENSG00000102054.18:O005,-1.09194645251888,0.0956651469702747,11.7948718842823,-11.4142557357715,9.97061462418168e-08,0.000323557423364794,0.0318873617065582
ENSG00000102531.16:O004,-2.47294035026951,0.136754880493241,11.7948718842823,-18.0830135008727,5.80231434181139e-10,3.50034625111296e-05,0.0139159228678128
ENSG00000102572.15:O067,-1.32197236741038,0.0566885186253816,11.7948718842823,-23.3199314334963,3.11885968043402e-11,1.00410111080402e-05,0.00945968941231158
ENSG00000102710.21:O006,-0.93447852324853,0.0978311549925918,11.7948718842823,-9.55195227245648,6.73145356425355e-07,0.000746697287298249,0.0476775882459366
ENSG00000102858.13:O003,-1.8770211901483,0.137710631377308,11.7948718842823,-13.630183605836,1.4111483636597e-08,0.000138375315146086,0.0225174376464995
ENSG00000103037.12:O027,-1.62546639259435,0.0962758207827167,11.7948718842823,-16.8834332377476,1.26783798847643e-09,4.89553225132236e-05,0.0157382794429819
ENSG00000103148.17:O007,-1.21909524977266,0.127621122616226,11.7948718842823,-9.55245671548155,6.72770741807087e-07,0.000746514473611944,0.0476775882459366
ENSG00000103194.16:O002,-3.55020942358956,0.25107373559826,11.7948718842823,-14.1401067504337,9.36491110399691e-09,0.000115885771120963,0.0210469124163953
ENSG00000103335.22:O003,-2.34347739823431,0.20310365744718,11.7948718842823,-11.5383318434025,8.8626915063613e-08,0.000307361062661525,0.030822201801912
ENSG00000103653.17:O002,-2.34490563397541,0.23382105943366,11.7948718842823,-10.0286331763915,4.01839188348995e-07,0.000595270387607899,0.0428861214573135
ENSG00000103978.17:O016,-1.46149263331947,0.141965621342303,11.7948718842823,-10.2946940216995,3.03874327253442e-07,0.000526625058086019,0.0418201108842755
ENSG00000104093.14:O017,-4.01216590451452,0.418777721348304,11.7948718842823,-9.58065747049982,6.52180299665457e-07,0.000736377929452755,0.047605302060582
ENSG00000104129.10:O013,-1.58777596210882,0.0865381336615101,11.7948718842823,-18.3477028557068,4.91514196223582e-10,3.26003311738153e-05,0.0136998557848015
ENSG00000104331.9:O055,-1.56349689390206,0.116264603999231,11.7948718842823,-13.4477462625891,1.63955348425446e-08,0.000147662159149455,0.0230229832000494
ENSG00000104517.13:O021,-3.36120409456288,0.335037851875293,11.7948718842823,-10.0323115007733,4.00273486102435e-07,0.000594251623714466,0.0428861214573135
ENSG00000104613.12:O002,-2.65692558920404,0.216979166421494,11.7948718842823,-12.2450723404606,4.62200609350253e-08,0.000231512636244214,0.0269972390147976
ENSG00000104885.19:O002,-1.17870402138635,0.11228857881538,11.7948718842823,-10.4970962659018,2.46644798942469e-07,0.000480629651552043,0.0401084884045761
ENSG00000105221.18:O024,-2.20329296002513,0.150181064186694,11.7948718842823,-14.6709105569139,6.19669270270596e-09,9.6951864412299e-05,0.0189665395954115
ENSG00000105647.20:O006,-1.75262633959841,0.174814215154708,11.7948718842823,-10.0256511637075,4.03113336760399e-07,0.000596097815460515,0.0428861214573135
ENSG00000105738.11:O004,-3.09784563682919,0.270814008721736,11.7948718842823,-11.4390154757919,9.73814002952257e-08,0.000320245925727698,0.0316707296714132
ENSG00000105810.10:O100,-2.01351406834436,0.132687426460978,11.7948718842823,-15.1748671449024,4.23870912689393e-09,8.23002074913857e-05,0.0180247445523638
ENSG00000105855.10:O005,-2.56540914673824,0.170930495239307,11.7948718842823,-15.0084930318994,4.79871504806162e-09,8.68244924335403e-05,0.0180247445523638
ENSG00000105976.16:O003,-2.13071402465813,0.185642489208776,11.7948718842823,-11.4775126844044,9.38820612493867e-08,0.000315176708474781,0.0312557511451445
ENSG00000105983.23:O056,-3.76287934066303,0.289293177841792,11.7948718842823,-13.007148556821,2.37334536113847e-08,0.000173334996692639,0.02370754223879
ENSG00000106078.19:O015,-3.49081739100999,0.188212117727595,11.7948718842823,-18.5472510120861,4.3435790750143e-10,3.09185115394136e-05,0.0136998557848015
ENSG00000106244.13:O016,-0.968774731425611,0.095881915924323,11.7948718842823,-10.1038315941688,3.71099289601672e-07,0.000574847303759134,0.0428861214573135
ENSG00000106299.8:O031,-2.36808284309953,0.18220969183987,11.7948718842823,-12.9964702710801,2.39504295497316e-08,0.000174020459898217,0.02370754223879
ENSG00000106399.11:O006,1.57157220471542,0.103246925239564,11.7948718842823,15.221491594727,4.09475170350138e-09,0.000659534373193035,0.044888461141275
ENSG00000106399.11:O009,-1.57771717871725,0.127635127685618,11.7948718842823,-12.3611517246519,4.16622726771233e-08,0.000221297737508641,0.0264081966760312
ENSG00000106484.16:O005,-2.01799543131881,0.208918316588981,11.7948718842823,-9.65925565678836,5.98285724451825e-07,0.000708973351645585,0.0463161423155327
ENSG00000106609.16:O010,-2.22538307206952,0.147315148525921,11.7948718842823,-15.10627450291,4.4605306555657e-09,8.41305180193003e-05,0.0180247445523638
ENSG00000106723.17:O002,-1.49733872800761,0.147277053280508,11.7948718842823,-10.166816178456,3.47297258613905e-07,0.000558377264582073,0.0427134745129022
ENSG00000106780.9:O047,-2.85241327631163,0.132543844363191,11.7948718842823,-21.5205262078832,7.88067251947961e-11,1.49050836870578e-05,0.0120311731747647
ENSG00000107290.14:O026,-2.48620824224912,0.196838969776248,11.7948718842823,-12.6306708731267,3.284415419341e-08,0.000199577773619159,0.0252160227669103
ENSG00000107371.14:O043,1.84636026112486,0.121053094888942,11.7948718842823,15.2524829110629,4.0019916143943e-09,0.000653835632287228,0.044652919011415
ENSG00000107371.14:O044,-2.20114089780005,0.140882188890786,11.7948718842823,-15.6239828123795,3.05070714834547e-09,7.14242142647992e-05,0.0171249549324934
ENSG00000107854.7:O002,-2.89964933824223,0.175985799865426,11.7948718842823,-16.4766097063488,1.6722065049364e-09,5.51409458925481e-05,0.0157382794429819
ENSG00000107929.16:O035,-2.41633657329476,0.131475256459776,11.7948718842823,-18.3786412619322,4.8214352773861e-10,3.23325303694332e-05,0.0136998557848015
ENSG00000108021.22:O002,-3.04784457413862,0.177941324265022,11.7948718842823,-17.1283685042111,1.07638307646204e-09,4.5631094199311e-05,0.0157382794429819
ENSG00000108424.11:O003,-2.01959440211473,0.174664181351558,11.7948718842823,-11.5627278958229,8.66088309312882e-08,0.00030429086384637,0.0307240535919869
ENSG00000108474.17:O002,-0.990958867532346,0.0900131076113998,11.7948718842823,-11.0090507241508,1.47612699000179e-07,0.000383989940620511,0.0343670996855357
ENSG00000108510.10:O040,-2.35435467856692,0.21338932464083,11.7948718842823,-11.0331418056161,1.44160591081885e-07,0.000380041561431834,0.034184642962964
ENSG00000108599.15:O018,-3.39121853938824,0.28618901050092,11.7948718842823,-11.8495763811914,6.62630133678291e-08,0.000270790842307072,0.0291120485122918
ENSG00000108654.16:O025,-1.24630987522968,0.118100236572041,11.7948718842823,-10.5529837314884,2.32971049464737e-07,0.000468779084595329,0.0396810899858147
ENSG00000108788.12:O011,-1.73402594988372,0.168375249829507,11.7948718842823,-10.2985798188246,3.02649914668866e-07,0.000525694189936463,0.0418201108842755
ENSG00000108840.17:O010,-1.43951208826164,0.138036881436524,11.7948718842823,-10.4284599396981,2.6463122200519e-07,0.000495672840990167,0.0406003887419383
ENSG00000109572.16:O004,-2.65010563668981,0.279548474003371,11.7948718842823,-9.47995028818458,7.28987421512077e-07,0.000773342585490726,0.048828332558321
